year,code,station,state,section_title,pH,conductivity_uScm,BOD_mg_L,DO_mg_L,nitrate_mg_L,waterbody,date
2016,1001,BEAS U/S MANALI,HIMACHAL PRADESH,Beas,8.15,340.0,2.1,6.75,0.55,BEAS,2016-06-30
2016,2601,BEAS D/S MANALI,HIMACHAL PRADESH,Beas,7.7,120.0,0.2,8.85,0.5,BEAS,2016-06-30
2016,2602,BEAS U/S KULLU,HIMACHAL PRADESH,Beas,7.550000000000001,143.0,0.1,8.65,0.4,BEAS,2016-06-30
2016,1002,BEAS D/S KULU,HIMACHAL PRADESH,Beas,5.449999999999999,214.5,0.6000000000000001,,0.7,BEAS,2016-06-30
2016,1003,BEAS D/S AUT,HIMACHAL PRADESH,Beas,7.6000000000000005,201.0,5.4,4.66,0.65,BEAS,2016-06-30
2016,1005,BEAS EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,Beas,7.55,255.0,3.0,6.8,0.2,Beas,2016-06-30
2016,1550,BEAS U/S MANDI,HIMACHAL PRADESH,Beas,7.65,175.5,0.1,9.55,0.35,BEAS,2016-06-30
2016,1006,BEAS D/S MANDI,HIMACHAL PRADESH,Beas,7.699999999999999,231.5,0.15000000000000002,9.55,0.5,BEAS,2016-06-30
2016,2604,BEAS D/S JAISINGHPUR,HIMACHAL PRADESH,Beas,7.8,309.0,1.15,8.1,0.1,BEAS,2016-06-30
2016,1007,BEAS D/S ALAMPUR,HIMACHAL PRADESH,Beas,7.699999999999999,310.5,0.7,7.75,0.15,BEAS,2016-06-30
2016,1009,BEAS D/S PONG DAM,HIMACHAL PRADESH,Beas,7.95,237.5,0.3,7.699999999999999,0.1,BEAS,2016-06-30
2016,1693,BEAS AT TALWARA H/W,PUNJAB,Beas,7.55,209.5,0.4,7.65,0.6000000000000001,BEAS,2016-06-30
2016,1694,BEAS U/S PATHANKOT,PUNJAB,Beas,7.3,257.5,0.75,6.9,1.15,BEAS,2016-06-30
2016,1695,BEAS D/S PATHANKOT,PUNJAB,Beas,7.35,291.0,1.1,7.4,1.7000000000000002,BEAS,2016-06-30
2016,1294,BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN,PUNJAB,Beas,7.25,334.0,3.0,5.7,1.7,BEAS,2016-06-30
2016,1011,BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,Beas,7.4,243.0,1.0,7.55,1.2,BEAS,2016-06-30
2016,1696,BEAS U/S GOINDWAL,PUNJAB,Beas,7.5,259.0,1.15,7.4,1.5,BEAS,2016-06-30
2016,1012,BEAS 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,Beas,7.3,250.5,1.1,7.449999999999999,1.4,Beas,2016-06-30
2016,1697,"BEAS AT HARIKE, PUNJAB",PUNJAB,Beas,7.35,253.0,1.0,7.6,1.55,BEAS,2016-06-30
2016,2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,Beas,7.4,148.5,0.1,10.25,0.55,BEAS,2016-06-30
2016,2913,EAST KALI BEIN FALLING INTO RIVER BEAS,PUNJAB,Beas,6.949999999999999,674.5,6.65,2.15,2.75,Beas,2016-06-30
2016,1867,"SATLUJ B/C WITH SPITI AT KHAB, DISTT.KINNAUR,",HIMACHAL PRADESH,Satluj,8.55,80.5,249.55,,0.05,SPITI,2016-06-30
2016,2611,SATLUJ AT KHAB,HIMACHAL PRADESH,Satluj,8.15,82.05,253.05,,0.05,SATLUJ,2016-06-30
2016,1086,SATLUJ U/S RAMPUR,HIMACHAL PRADESH,Satluj,8.1,66.5,221.05,,0.05,SATLUJ,2016-06-30
2016,1087,SATLUJ D/S RAMPUR,HIMACHAL PRADESH,Satluj,7.9,82.0,224.1,,0.1,SATLUJ,2016-06-30
2016,1013,SATLUJ U/S TATAPANI,HIMACHAL PRADESH,Satluj,7.55,84.25,199.55,,0.05,SATLUJ,2016-06-30
2016,1014,SATLUJ U/S SLAPPER,HIMACHAL PRADESH,Satluj,8.2,95.35,248.05,,0.1,SATLUJ,2016-06-30
2016,1015,SATLUJ D/S SLAPPER,HIMACHAL PRADESH,Satluj,8.399999999999999,93.25,201.05,,0.15,SATLUJ,2016-06-30
2016,1016,SATLUJ D/S BHAKHRA,HIMACHAL PRADESH,Satluj,7.35,105.65,141.1,,0.2,SATLUJ,2016-06-30
2016,1389,SATLUJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,Satluj,8.15,81.05,249.05,,0.1,SATLUJ,2016-06-30
2016,1017,"SATLUJ 100M U/S OF HEADWORKS, NANGAL",PUNJAB,Satluj,7.9,105.05,,,,Satluj,2016-06-30
2016,1018,"SATLUJ 100M D/S , NANGAL",PUNJAB,Satluj,7.8999999999999995,108.0,,,,Satluj,2016-06-30
2016,1293,SATLUJ 1 KM. D/S OF ZENITH,PUNJAB,Satluj,7.5,127.3,177.8,,1.5,Satluj,2016-06-30
2016,1814,SATLUJ D/S KIRATPUR SAHIB,PUNJAB,Satluj,8.05,110.65,156.3,,0.6,SATLUJ,2016-06-30
2016,1019,SATLUJ U/S HEAD WORKS ROPAR,PUNJAB,Satluj,7.6,120.0,151.7,,1.0,SATLUJ,2016-06-30
2016,1380,SATLUJ D/S NFL,PUNJAB,Satluj,7.8999999999999995,118.1,156.5,,0.7,SATLUJ,2016-06-30
2016,1690,SATLUJ U/S BUDHA NALLAH (UPPER),PUNJAB,Satluj,7.699999999999999,137.15,207.6,,0.95,SATLUJ,2016-06-30
2016,1020,"SATLUJ 100M D/S BUDHA NALA CONFL., LUDHIANA",PUNJAB,Satluj,6.5,204.95,448.6,,22.0,Satluj,2016-06-30
2016,1021,"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",PUNJAB,Satluj,7.5,183.95,402.1,,10.9,SATLUJ,2016-06-30
2016,1381,SATLUJ D/S EAST BEIN BASIN,PUNJAB,Satluj,4.9,164.55,397.1,,8.0,SATLUJ,2016-06-30
2016,1691,SATLUJ U/S HUSSANIWALA - H/W FEROZEPUR,PUNJAB,Satluj,7.5,109.45,153.0,,0.8,SATLUJ,2016-06-30
2016,1692,SATLUJD/S HUSSANIWALA-H/W FEROZEPUR,PUNJAB,Satluj,7.55,126.0,152.5,,0.9,Satluj,2016-06-30
2016,2915,"SATLUJ, 100 MT. D/S OF PACL, NANGAL",PUNJAB,Satluj,7.75,124.0,,,,Satluj,2016-06-30
2016,1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,Satluj,6.3,134.8,197.7,,2.4,SATLUJ,2016-06-30
2016,1088,RAVI U/S MADHOPUR,HIMACHAL PRADESH,Satluj,7.7,201.5,0.45,7.449999999999999,0.15,RAVI,2016-06-30
2016,1089,RAVI U/S CHAMBA,HIMACHAL PRADESH,Satluj,7.6,170.0,0.7999999999999999,8.649999999999999,0.1,RAVI,2016-06-30
2016,2614,RAVI AT CHAMERA RESERVOIR,HIMACHAL PRADESH,Satluj,7.699999999999999,441.5,0.35,8.600000000000001,0.1,RAVI,2016-06-30
2016,2615,RAVI D/S CHAMERA III HEP,HIMACHAL PRADESH,Satluj,7.699999999999999,173.5,0.35,8.600000000000001,0.1,RAVI,2016-06-30
2016,2613,RAVID/S OF CHAMBA TOWN,HIMACHAL PRADESH,Satluj,7.550000000000001,182.5,0.9500000000000001,8.65,0.1,Satluj,2016-06-30
2016,1097,"RAVI U/S OF MADHOPUR H/W, GURDASPUR",PUNJAB,Satluj,7.6,190.0,0.65,7.55,0.5,RAVI,2016-06-30
2016,1290,PARVATI B/C TO BEAS,HIMACHAL PRADESH,Satluj,7.6,458.0,0.1,8.95,0.35,Satluj,2016-06-30
2016,2605,PARVATI U/S MANIKARAN,HIMACHAL PRADESH,Satluj,7.4,84.5,0.1,9.2,0.6,PARVATI,2016-06-30
2016,2606,PARVATI D/S MANIKARAN,HIMACHAL PRADESH,Satluj,7.5,92.0,0.1,9.15,0.35,PARVATI,2016-06-30
2016,1090,LARGI AT D/S MANDI,HIMACHAL PRADESH,Satluj,6.25,193.5,0.1,8.7,0.5,LARGI,2016-06-30
2016,1551,"SIRSA , U/S SITOMAJRI NALLAHGARH",HIMACHAL PRADESH,Satluj,7.7,636.0,1.7,7.199999999999999,9.5,Satluj,2016-06-30
2016,1552,"SIRSA , D/S NALAGARH BRIDGE",HIMACHAL PRADESH,Satluj,8.05,1248.5,2.15,6.3,8.5,Satluj,2016-06-30
2016,1868,SIRSA D/S NALAGARH DISTT. SOLAN,HIMACHAL PRADESH,Satluj,7.949999999999999,1155.5,4.3,6.550000000000001,2.85,SIRSA,2016-06-30
2016,1869,SWAN D/S NANGAL DISTT. UNA,HIMACHAL PRADESH,Satluj,7.95,599.5,1.15,5.85,0.45,SWAN,2016-06-30
2016,2616,SIUEL D/S SURGANI,HIMACHAL PRADESH,Satluj,7.75,201.5,0.45,8.7,0.2,SIUEL,2016-06-30
2016,1307,CHUNT KOL (MAULANA AZAD BRIDGE),JAMMU & KASHMIR,Satluj,7.75,281.0,6.1,4.6,0.0,Satluj,2016-06-30
2016,2607,SUKETI KHAD D/S MANDI,HIMACHAL PRADESH,Satluj,7.6,334.5,0.25,9.2,0.45,KHAD,2016-06-30
2016,2608,BINWA D/S PAPROLA/BAIJNATH,HIMACHAL PRADESH,Satluj,7.4,154.1,0.5,7.85,0.1,BINWA,2016-06-30
2016,2609,NEUGAL D/S THURAL,HIMACHAL PRADESH,Satluj,7.8,212.8,0.65,8.2,0.15,NEUGAL,2016-06-30
